user_id,product_id,feedback,score
1,2,Đánh giá: 43 đánh giá - Samsung Galaxy S25 Ultra 12GB 256GB,4
1,6,Đánh giá: 84 đánh giá - Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,5
1,7,Đánh giá: 7 đánh giá - Tecno Pova 7 8GB 256GB,4
1,8,Đánh giá: 1 đánh giá - OPPO Find N6 16GB 512GB,5
1,9,Đánh giá: 1 đánh giá - Samsung Galaxy A17 5G 8GB 128GB,5
1,10,Đánh giá: 9 đánh giá - Tecno Pova 7 8GB 128GB,4
1,11,Đánh giá: 3 đánh giá - HONOR X9d 12GB 512GB,5
1,12,Đánh giá: 6 đánh giá - Nothing Phone 2A Plus 5G 12GB 256GB,4
1,14,Đánh giá: 7 đánh giá - Samsung Galaxy S26 Ultra 12GB 256GB,5
1,16,Đánh giá: 3 đánh giá - Samsung Galaxy A07 4GB 128GB,5
1,17,Đánh giá: 2 đánh giá - Samsung Galaxy S26 Ultra 12GB 512GB,5
