id,user_id,product_id,feedback,score,created_at
1,1,2,Samsung Galaxy S25 Ultra 12GB 256GB - (43 đánh giá),4,2026-03-26T22:31:52.295661
2,1,6,Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB - (84 đánh giá),5,2026-03-26T22:31:52.295899
3,1,7,Tecno Pova 7 8GB 256GB - (7 đánh giá),4,2026-03-26T22:31:52.295916
4,1,8,OPPO Find N6 16GB 512GB - (1 đánh giá),5,2026-03-26T22:31:52.295925
5,1,9,Samsung Galaxy A17 5G 8GB 128GB - (1 đánh giá),5,2026-03-26T22:31:52.295941
6,1,10,Tecno Pova 7 8GB 128GB - (9 đánh giá),4,2026-03-26T22:31:52.295957
7,1,11,HONOR X9d 12GB 512GB - (3 đánh giá),5,2026-03-26T22:31:52.295976
8,1,12,Nothing Phone 2A Plus 5G 12GB 256GB - (6 đánh giá),4,2026-03-26T22:31:52.295988
9,1,14,Samsung Galaxy S26 Ultra 12GB 256GB - (7 đánh giá),5,2026-03-26T22:31:52.296024
10,1,16,Samsung Galaxy A07 4GB 128GB - (3 đánh giá),5,2026-03-26T22:31:52.296048
11,1,17,Samsung Galaxy S26 Ultra 12GB 512GB - (2 đánh giá),5,2026-03-26T22:31:52.296067
